playerID,year,teamID,position,ppg,ppg_ppr,yards,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_fumbles_forced,def_fumbles,def_tds,fg_made,fg_att,fg_pct,pat_made,pat_att,kickoff_returns,kickoff_return_yards,punt_returns,punt_return_yards
00-0031346,2015,8868698989004076079,DT,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,3,1,0.0,0.0,1,0,0,1,0,0,0,0,0,,0,0,0,0,0,0
00-0034771,2025,7133911251131028908,QB,3.0,3.0,316,38,52,310,2,2,2,-12,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0033831,2019,17088881563676356828,G,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0030068,2019,2320754804646684222,WR,3.2625,4.7625,201,0,0,0,0,0,0,0,1,15,0,0,0,12,21,186,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0027973,2023,2063088944946177687,QB,11.82,11.82,373,34,58,361,2,0,3,-27,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0038590,2024,8868698989004076079,TE,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0035240,2022,65479060838205726,LB,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11,32,2,1.5,12.5,4,0,0,2,0,0,0,0,0,,0,0,0,0,0,0
00-0031279,2015,18099107877425255784,OT,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0031166,2017,8868698989004076079,WR,3.1666666666666665,6.033333333333333,455,0,0,0,0,0,0,0,0,0,0,0,0,43,65,455,1,2,2,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0030035,2025,7133911251131028908,WR,0.4,1.4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0028110,2017,2320754804646684222,G,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0032387,2025,12023098800665815609,DT,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,1,1.5,10.0,6,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0032581,2018,6925066933158530259,CB,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,5,1,0.0,0.0,0,1,0,4,0,0,0,0,0,,0,0,0,0,0,0
00-0035715,2021,17088881563676356828,RB,5.377777777777777,6.266666666666667,364,0,0,0,0,0,0,0,54,259,2,0,0,8,9,105,0,0,0,0,0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0032741,2018,13906238977642631312,RB,8.14375,9.39375,963,0,0,0,0,0,0,0,234,871,5,1,1,20,29,92,1,0,0,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0033925,2017,500402322179294962,RB,5.666666666666667,6.333333333333333,410,0,0,0,0,0,0,0,78,327,2,2,1,6,8,83,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,1,12,0,0
00-0028075,2021,1560179394349447686,CB,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,6,0,0.0,0.0,0,1,17,3,0,0,0,0,0,,0,0,0,0,0,0
00-0031545,2022,16205908587528271615,WR,1.2333333333333334,1.5666666666666667,74,0,0,0,0,0,0,0,0,0,0,0,0,2,5,74,0,0,0,1,0,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0032655,2021,6153311603862755699,DE,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,1.0,6.0,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0036244,2021,12023098800665815609,TE,0.6600000000000001,1.6600000000000001,33,0,0,0,0,0,0,0,0,0,0,0,0,5,8,33,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,1,13,0,0
00-0036979,2022,5871406167610578751,G,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0032438,2019,5871406167610578751,CB,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,7,0,0.0,0.0,0,0,0,2,0,0,0,0,0,,0,0,0,0,0,0
00-0029253,2019,17088881563676356828,OT,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0030573,2016,5871406167610578751,DT,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,24,13,1.5,13.0,9,0,0,2,1,0,0,0,0,,0,0,0,0,0,0
00-0039660,2025,6153311603862755699,SAF,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,6,0,0.0,0.0,0,1,0,4,0,0,0,0,0,,0,0,0,0,0,0
00-0032259,2017,13343989452992003904,G,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0035698,2023,10850162338247848558,OT,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0029388,2017,5036536954717716423,WR,4.308333333333334,6.7250000000000005,457,0,0,0,0,0,0,0,3,4,0,0,0,29,57,453,1,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0036637,2021,17088881563676356828,TE,1.2222222222222223,2.2222222222222223,50,0,0,0,0,0,0,0,0,0,0,0,0,9,14,50,1,0,0,2,0,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0036932,2023,10850162338247848558,LB,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,8,29,16,14.0,115.0,34,0,0,2,1,0,0,0,0,,0,0,0,0,0,0
00-0034377,2020,6925066933158530259,CB,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,4,1,0.0,0.0,0,0,0,3,0,0,0,0,0,,0,0,0,0,0,0
00-0027001,2018,5036536954717716423,CB,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0031130,2018,6153311603862755699,OLB,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,6,21,3,1.0,9.0,4,0,0,3,1,0,0,0,0,,0,0,0,0,0,0
00-0037295,2024,2510731250986376389,G,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0036168,2022,6153311603862755699,K,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,1,1.0,2,4,0,0,0,0
00-0030448,2018,2063088944946177687,DT,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,13,10,3.0,20.0,7,0,0,1,1,0,0,0,0,,0,0,0,0,0,0
00-0032134,2020,6749998682379709485,TE,7.35,11.35,87,0,0,0,0,0,0,0,0,0,0,0,0,8,11,87,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0033083,2016,13343989452992003904,DB,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0036196,2023,5036536954717716423,WR,7.275,10.0875,744,0,0,0,0,0,0,0,1,-2,0,0,0,45,81,746,7,1,1,4,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0032455,2018,12955004400848398946,C,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0035255,2023,2320754804646684222,DB,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0033786,2019,6749998682379709485,DT,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0.0,0.0,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0032778,2020,9057379035658713691,WR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0040161,2025,2510731250986376389,LB,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0032710,2018,132764444518718530,DB,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0033918,2017,5278248699303523056,CB,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7,0,0.0,0.0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0
00-0029266,2016,13906238977642631312,DT,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0030312,2018,2510731250986376389,S,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,7,33,2,1.0,13.0,1,1,19,3,0,1,0,0,0,,0,0,0,0,0,0
00-0029869,2017,5278248699303523056,ILB,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,6,0,0.0,0.0,0,1,2,3,0,0,0,0,0,,0,0,0,0,0,0
00-0033077,2021,10850162338247848558,QB,20.083529411764708,20.083529411764708,4876,433,639,4703,38,11,35,-184,52,173,2,7,3,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0039234,2025,9069772535392331262,CB,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,5,0,0.0,0.0,0,1,0,2,0,0,0,0,0,,0,0,0,0,0,0
00-0032552,2016,6153311603862755699,CB,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0.0,0.0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0031550,2016,2063088944946177687,OLB,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,17,4,0.0,0.0,2,1,12,5,0,0,0,0,0,,0,0,0,0,0,0
00-0029087,2017,5036536954717716423,DB,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,4,12,2,1.0,7.0,1,0,0,7,2,0,0,0,0,,0,0,0,0,0,0
00-0031680,2015,18099107877425255784,DB,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,6,0,0.0,0.0,0,1,10,2,0,0,0,0,0,,0,0,0,0,0,0
00-0032969,2017,500402322179294962,C,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0030384,2016,313534023758018368,LB,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,14,2,0.0,0.0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0
00-0020679,2015,9057379035658713691,QB,0.033333333333333326,0.033333333333333326,10,2,7,15,0,0,1,-11,4,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0036274,2022,6153311603862755699,CB,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,9,14,1,0.0,0.0,0,1,20,7,1,0,1,0,0,,0,0,0,0,0,0
00-0036633,2022,6365231705754170015,SAF,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,7,0,0.0,0.0,0,2,25,4,0,0,0,0,0,,0,0,0,0,0,0
00-0027925,2017,65479060838205726,FB,0.4222222222222223,1.088888888888889,38,0,0,0,0,0,0,0,0,0,0,0,0,6,11,38,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0026993,2015,6282140929199591444,QB,10.360000000000001,10.360000000000001,173,15,28,149,1,1,1,-7,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0034364,2019,500402322179294962,TE,3.3625000000000003,5.6125,418,0,0,0,0,0,0,0,0,0,0,0,0,36,55,418,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0036865,2022,6749998682379709485,G,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0036833,2024,18099107877425255784,C,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0028912,2015,6749998682379709485,OLB,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2,18,8,2.0,22.0,6,3,16,6,1,0,0,0,0,,0,0,0,0,0,0
00-0033282,2018,2063088944946177687,WR,7.676923076923076,10.676923076923078,578,0,0,0,0,0,0,0,8,84,2,0,0,39,65,494,5,0,0,8,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,10,209,0,0
00-0037277,2023,500402322179294962,TE,1.1,1.7666666666666668,33,0,0,0,0,0,0,0,0,0,0,0,0,2,3,33,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0034744,2019,6365231705754170015,DB,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,4,0,0.0,0.0,0,0,0,2,0,0,0,0,0,,0,0,0,0,0,0
00-0034955,2022,6365231705754170015,QB,4.505,4.505,490,53,88,483,2,4,8,-47,6,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0027033,2016,16205908587528271615,DE,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,5,5,1.5,12.5,9,0,0,1,1,0,0,0,0,,0,0,0,0,0,0
00-0036899,2021,13343989452992003904,CB,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,10,0,0.0,0.0,1,0,0,3,0,0,0,0,0,,0,0,0,0,0,0
00-0032228,2025,313534023758018368,LS,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0034479,2018,8868698989004076079,K,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,5,9,0.5333333333333333,5,5,0,0,0,0
00-0026858,2024,13343989452992003904,K,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,9,11,0.8333333333333334,15,15,0,0,0,0
00-0037229,2024,2063088944946177687,OT,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
00-0027723,2022,12023098800665815609,DT,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,12,5,2.0,6.0,3,0,0,1,0,0,0,0,0,,0,0,0,0,0,0
00-0034234,2020,12023098800665815609,DT,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,16,8,2.0,14.0,9,0,0,0,1,0,0,0,0,,0,0,0,0,0,0
00-0031122,2019,1050569726423766568,G,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
