playerID,week,year,injuryStatus,primaryInjury,practiceStatus
00-0037382,13,2023,,,Full Participation in Practice
00-0033580,13,2018,,,Full Participation in Practice
00-0034436,14,2022,,,Full Participation in Practice
00-0038413,1,2023,Doubtful,Hamstring,Limited Participation in Practice
00-0033538,8,2023,,,Full Participation in Practice
00-0031380,7,2018,Out,Sternoclavicular,Did Not Participate In Practice
00-0036613,8,2024,,,Full Participation in Practice
00-0033589,16,2024,Questionable,Concussion,Full Participation in Practice
00-0027662,7,2020,,,Full Participation in Practice
00-0037512,5,2024,,,Full Participation in Practice
00-0038848,18,2023,Out,Knee,Did Not Participate In Practice
00-0030697,15,2016,,,Full Participation in Practice
00-0032052,8,2018,,,Full Participation in Practice
00-0031921,11,2019,Questionable,Knee,Full Participation in Practice
00-0028825,3,2018,,,Full Participation in Practice
00-0038986,2,2023,,,Full Participation in Practice
00-0039014,11,2023,Questionable,Knee,Limited Participation in Practice
00-0039110,15,2023,,,Full Participation in Practice
00-0033375,15,2021,,,Full Participation in Practice
00-0037664,7,2024,Questionable,Shoulder,Full Participation in Practice
00-0030404,18,2015,Probable,Toe,Full Participation in Practice
00-0025944,11,2017,,,Full Participation in Practice
00-0030860,12,2017,,,Limited Participation in Practice
00-0033935,18,2017,Questionable,Ankle,Limited Participation in Practice
00-0035644,7,2022,,,Full Participation in Practice
00-0033151,12,2018,Out,Thumb,Did Not Participate In Practice
00-0032112,5,2015,Questionable,Shoulder,Limited Participation in Practice
00-0034383,3,2019,,,Full Participation in Practice
00-0034746,17,2018,Questionable,Ankle,Limited Participation in Practice
00-0032201,9,2017,,,Full Participation in Practice
00-0031547,13,2016,Questionable,Back,Did Not Participate In Practice
00-0032437,4,2019,,,Full Participation in Practice
00-0031254,15,2019,,,Did Not Participate In Practice
00-0033893,13,2023,Questionable,Shoulder,Limited Participation in Practice
00-0039919,2,2024,Questionable,Knee,Limited Participation in Practice
00-0035249,2,2019,Out,Hamstring,Did Not Participate In Practice
00-0030035,8,2020,,,Full Participation in Practice
00-0019596,12,2016,Questionable,Knee,Limited Participation in Practice
00-0032424,17,2022,,,Full Participation in Practice
00-0026189,2,2015,Out,Hamstring,Did Not Participate In Practice
00-0035676,20,2022,,,Limited Participation in Practice
00-0036649,17,2023,Out,Not injury related - personal matter,Full Participation in Practice
00-0034527,10,2022,,,Full Participation in Practice
00-0035646,3,2021,Out,Hamstring,Did Not Participate In Practice
00-0036166,7,2024,Questionable,Hamstring,Full Participation in Practice
00-0033909,7,2022,Questionable,Hip,Did Not Participate In Practice
00-0035646,10,2024,,,Full Participation in Practice
00-0031381,3,2015,Questionable,Ankle,Limited Participation in Practice
00-0031702,17,2015,Probable,Groin,Limited Participation in Practice
00-0030404,9,2018,Out,Rib,Did Not Participate In Practice
00-0031408,5,2022,,,Did Not Participate In Practice
00-0036552,17,2022,Questionable,Ankle,Limited Participation in Practice
00-0038982,19,2023,,,Full Participation in Practice
00-0038646,11,2024,Questionable,Ankle,Full Participation in Practice
00-0034780,4,2018,,,Full Participation in Practice
00-0032129,15,2022,,,Full Participation in Practice
00-0033659,2,2019,Out,Triceps,Did Not Participate In Practice
00-0030161,13,2018,,,Full Participation in Practice
00-0023448,15,2015,Probable,Not Injury Related,Full Participation in Practice
00-0032790,3,2018,Out,Forearm,Limited Participation in Practice
00-0034373,6,2020,,,Full Participation in Practice
00-0025565,12,2020,Questionable,Back,Limited Participation in Practice
00-0024235,4,2016,Questionable,Knee,Did Not Participate In Practice
00-0035306,19,2020,Questionable,Knee,Did Not Participate In Practice
