playerID,year,contractSalary,contractCreateDate,contractExpireDate,year_signed,contract_years
00-0021235,2014,1.475,2014-03-01,2016-03-01,2014,2
00-0032390,2017,1.001676,2016-03-01,2020-03-01,2016,4
00-0038128,2024,1.290025,2022-03-01,2026-03-01,2022,4
00-0034578,2020,0.7625,2020-03-01,2022-03-01,2020,2
00-0033477,2018,0.595,2018-03-01,2021-03-01,2018,3
00-0038914,2024,0.906667,2023-03-01,2026-03-01,2023,3
00-0031722,2017,0.51,2017-03-01,2019-03-01,2017,2
00-0031878,2017,0.465,2017-03-01,2018-03-01,2017,1
00-0032388,2020,14.25,2019-03-01,2023-03-01,2019,4
00-0036213,2023,1.413878,2020-03-01,2024-03-01,2020,4
00-0037601,2025,1.1,2025-03-01,2026-03-01,2025,1
00-0033720,2023,0.94,2023-03-01,2024-03-01,2023,1
00-0029794,2014,0.495,2013-03-01,2016-03-01,2013,3
00-0034320,2021,0.76755,2018-03-01,2022-03-01,2018,4
00-0030531,2015,0.711594,2014-03-01,2018-03-01,2014,4
00-0039068,2026,1.366353,2023-03-01,2027-03-01,2023,4
00-0032369,2020,0.825,2020-03-01,2021-03-01,2020,1
00-0025433,2010,0.8825,2007-03-01,2011-03-01,2007,4
00-0034720,2022,2.433,2022-03-01,2023-03-01,2022,1
00-0040212,2026,1.106301,2025-03-01,2029-03-01,2025,4
00-0033336,2024,1.3775,2024-03-01,2025-03-01,2024,1
00-0035446,2021,0.586667,2019-03-01,2022-03-01,2019,3
00-0034830,2024,1.125,2024-03-01,2025-03-01,2024,1
00-0039842,2025,1.045015,2024-03-01,2028-03-01,2024,4
00-0033106,2027,53.0,2024-03-01,2028-03-01,2024,4
00-0031353,2020,1.5,2020-03-01,2021-03-01,2020,1
00-0034819,2020,0.57,2018-03-01,2021-03-01,2018,3
00-0033347,2023,1.5,2022-03-01,2024-03-01,2022,2
00-0034355,2024,3.0,2023-03-01,2025-03-01,2023,2
00-0034234,2018,0.572667,2018-03-01,2021-03-01,2018,3
00-0034143,2018,0.572333,2018-03-01,2021-03-01,2018,3
00-0029620,2012,0.575125,2012-03-01,2016-03-01,2012,4
00-0033090,2017,1.595077,2016-03-01,2020-03-01,2016,4
00-0027150,2019,7.75,2019-03-01,2021-03-01,2019,2
00-0035384,2025,1.3375,2025-03-01,2026-03-01,2025,1
00-0022905,2006,0.3675,2004-03-01,2008-03-01,2004,4
00-0033917,2020,0.808878,2017-03-01,2021-03-01,2017,4
00-0033819,2019,0.615,2019-03-01,2021-03-01,2019,2
00-0024670,2009,0.378333,2007-03-01,2010-03-01,2007,3
00-0021146,2007,12.0,2007-03-01,2013-03-01,2007,6
00-0038636,2024,0.982646,2023-03-01,2027-03-01,2023,4
00-0032950,2020,32.0,2019-03-01,2023-03-01,2019,4
00-0033540,2021,4.25,2021-03-01,2022-03-01,2021,1
00-0034300,2018,0.573333,2018-03-01,2021-03-01,2018,3
00-0023648,2014,2.5,2013-03-01,2015-03-01,2013,2
00-0022999,2006,0.27075,2005-03-01,2007-03-01,2005,2
00-0033304,2020,0.615,2019-03-01,2021-03-01,2019,2
00-0034438,2019,0.632499,2018-03-01,2022-03-01,2018,4
00-0034302,2023,4.5,2022-03-01,2024-03-01,2022,2
00-0035139,2019,1.559162,2019-03-01,2023-03-01,2019,4
00-0032247,2019,0.69,2019-03-01,2021-03-01,2019,2
00-0032770,2021,8.6,2019-03-01,2022-03-01,2019,3
00-0035439,2021,0.585333,2019-03-01,2022-03-01,2019,3
00-0037748,2023,0.216,2023-03-01,2024-03-01,2023,1
00-0033438,2017,0.555,2017-03-01,2020-03-01,2017,3
00-0031698,2019,0.57,2019-03-01,2020-03-01,2019,1
00-0036127,2021,0.66,2021-03-01,2022-03-01,2021,1
00-0021146,2008,12.0,2007-03-01,2013-03-01,2007,6
00-0038826,2026,1.0175,2025-03-01,2027-03-01,2025,2
00-0005322,2000,0.295,1999-03-01,2001-03-01,1999,2
00-0036633,2021,0.952646,2021-03-01,2025-03-01,2021,4
00-0035958,2023,0.8475,2022-03-01,2024-03-01,2022,2
00-0033025,2020,3.5,2020-03-01,2022-03-01,2020,2
00-0035672,2020,0.906531,2019-03-01,2023-03-01,2019,4
00-0037667,2023,1.261226,2022-03-01,2026-03-01,2022,4
00-0034671,2020,0.571667,2018-03-01,2021-03-01,2018,3
00-0036347,2023,0.94,2023-03-01,2024-03-01,2023,1
00-0031044,2014,1.005825,2014-03-01,2018-03-01,2014,4
00-0038092,2025,0.234,2025-03-01,2026-03-01,2025,1
00-0027860,2018,9.0,2017-03-01,2020-03-01,2017,3
00-0026173,2014,2.85,2013-03-01,2016-03-01,2013,3
00-0023367,2013,4.466667,2009-03-01,2015-03-01,2009,6
00-0033524,2018,1.770213,2017-03-01,2021-03-01,2017,4
00-0037577,2023,0.75,2023-03-01,2024-03-01,2023,1
00-0034526,2018,0.571667,2018-03-01,2021-03-01,2018,3
00-0036917,2025,1.03,2025-03-01,2026-03-01,2025,1
00-0032753,2022,1.2125,2019-03-01,2023-03-01,2019,4
00-0038518,2025,0.96,2025-03-01,2026-03-01,2025,1
00-0031186,2014,0.58515,2014-03-01,2018-03-01,2014,4
00-0036916,2024,1.277546,2021-03-01,2025-03-01,2021,4
00-0039003,2026,1.433683,2023-03-01,2027-03-01,2023,4
00-0028908,2014,0.480333,2012-03-01,2015-03-01,2012,3
00-0023367,2007,0.435,2007-03-01,2008-03-01,2007,1
00-0030656,2020,4.0,2018-03-01,2021-03-01,2018,3
00-0039385,2027,1.075489,2024-03-01,2028-03-01,2024,4
00-0035969,2023,0.8325,2023-03-01,2025-03-01,2023,2
00-0039850,2025,2.14973,2024-03-01,2028-03-01,2024,4
00-0030122,2017,0.615,2017-03-01,2018-03-01,2017,1
00-0032922,2019,0.645,2019-03-01,2020-03-01,2019,1
00-0034302,2025,10.333333,2024-03-01,2027-03-01,2024,3
00-0034796,2020,2.367913,2018-03-01,2022-03-01,2018,4
00-0031989,2017,0.1224,2017-03-01,2018-03-01,2017,1
00-0040504,2027,0.99,2025-03-01,2028-03-01,2025,3
00-0033928,2020,0.812107,2017-03-01,2021-03-01,2017,4
00-0034081,2020,0.7625,2020-03-01,2022-03-01,2020,2
00-0031402,2017,2.24195,2014-03-01,2018-03-01,2014,4
00-0020245,2015,16.0,2011-03-01,2016-03-01,2011,5
00-0035436,2023,0.87,2023-03-01,2024-03-01,2023,1
00-0039386,2026,1.068569,2024-03-01,2028-03-01,2024,4
00-0031020,2016,0.5962,2014-03-01,2018-03-01,2014,4
00-0037268,2027,16.0,2025-03-01,2028-03-01,2025,3
00-0024271,2012,4.0,2011-03-01,2015-03-01,2011,4
00-0033925,2022,2.0,2022-03-01,2023-03-01,2022,1
00-0029258,2013,0.942101,2012-03-01,2016-03-01,2012,4
00-0028007,2014,0.911273,2011-03-01,2015-03-01,2011,4
00-0035807,2022,0.705,2022-03-01,2023-03-01,2022,1
00-0032714,2016,0.54,2016-03-01,2019-03-01,2016,3
00-0033117,2019,0.645,2019-03-01,2020-03-01,2019,1
00-0034832,2020,6.81781,2018-03-01,2022-03-01,2018,4
