playerID,playerID_trade,full_name,first_name,last_name,birth_date
00-0034502,HaleGr00,Grant Haley,Grant,Haley,1996-01-06
00-0026995,MaclJe00,Jeremy Maclin,Jeremy,Maclin,1988-05-11
00-0036604,MereJo00,Jordan Meredith,Jordan,Meredith,1998-01-04
00-0036965,LloyDa02,Damon Lloyd,Damon,Lloyd,1998-05-08
00-0020245,VickMi00,Mike Vick,Michael,Vick,1980-06-26
00-0030224,SweeRo01,Rod Sweeting,Roderick,Sweeting,1990-09-28
00-0039313,BozeSw00,Swayze Bozeman,Swayze,Bozeman,1998-11-02
00-0033809,BoykJe00,Jeremy Boykins,Jeremy,Boykins,1995-05-29
00-0031878,DaniRo01,Robertson Daniel,Robertson,Daniel,1991-10-01
00-0039357,RichDe01,Decamerion Richardson,Decamerion,Richardson,2001-03-16
00-0039399,McLaTa00,Tanner McLachlan,Tanner,McLachlan,1999-03-15
00-0036286,ChaiKL00,K'Lavon Chaisson,K'Lavon,Chaisson,1999-07-25
00-0033636,JoseDi00,Dieugot Joseph,Dieugot,Joseph,1994-03-21
00-0034300,WadeDM00,D'Montre Wade,D'Montre,Wade,1994-12-22
00-0036630,WallTy00,Tylan Wallace,Tylan,Wallace,1999-05-13
00-0027977,AyerAk00,Akeem Ayers,Akeem,Ayers,1989-07-10
00-0027078,LangT.20,T.J. Lang,Thomas,Lang,1987-09-20
00-0030502,GoodZa00,Zaviar Gooden,Zaviar,Gooden,1990-08-31
00-0039394,WashCa01,Casey Washington,Casey,Washington,2001-03-06
00-0038117,RobiWa01,Wan'Dale Robinson,Wan'Dale,Robinson,2001-01-05
00-0036277,CephQu00,Quintez Cephus,Quintez,Cephus,1998-04-01
00-0030142,WingBr00,Brad Wing,Bradley,Wing,1991-01-27
00-0031857,PattEr00,Eric Patterson,Eric,Patterson,1993-02-05
00-0029847,WallMa00,Martin Wallace,Martin,Wallace,1990-04-22
00-0033535,RossDa02,Daniel Ross,Daniel,Ross,1993-03-15
00-0034951,JohnFr01,Fred Johnson,Fred,Johnson,1997-06-05
00-0034928,SimsSt00,Steven Sims,Steven,Sims,1997-03-31
00-0036142,WrigIs01,Isaiah Wright,Isaiah,Wright,1997-01-13
00-0032621,ScotRa01,Rashawn Scott,Carl,Scott,1992-01-29
00-0027247,WindMi00,Mike Windt,Michael,Windt,1986-05-29
00-0032699,PeloCl00,Claude Pelon,Claudeson,Pelon,1992-11-27
00-0032409,HenrWi00,Willie Henry,Willie,Henry,1994-03-20
00-0034708,MartRo02,Robert Martin,Robert,Martin,1995-09-04
00-0030122,FragRe00,Reid Fragel,Reid,Fragel,1991-02-22
00-0038103,StraCo01,Cole Strange,Devin,Strange,1998-07-31
00-0030996,UrscJo00,John Urschel,John,Urschel,1991-06-24
00-0035835,CottNa00,Nathan Cottrell,Nathan,Cottrell,1996-08-02
00-0040725,EzeiDo00,Donovan Ezeiruaku,Donovan,Ezeiruaku,2003-05-25
00-0037093,YounDa02,Dareke Young,Dareke,Young,1999-06-04
00-0032072,AndeRo01,Rory Anderson,Rory,Anderson,1992-10-02
00-0035779,EdwaAu00,Austin Edwards,Austin,Edwards,1997-08-27
00-0031006,ThomRo04,Robert Thomas,Robert,Thomas,1991-02-18
00-0026515,CartTo99,Tony Carter,Tony,Carter,1986-05-24
00-0033409,DukeAu00,Austin Duke,Austin,Duke,1993-08-03
00-0035870,MurpKy02,Kyle Murphy,Kyle,Murphy,1998-05-18
00-0023750,WillMa22,Mario Williams,Mario,Williams,1985-01-31
00-0039048,BergMa00,Matthew Bergeron,Matthew,Bergeron,2000-02-26
00-0029585,JoneCh03,Chandler Jones,Chandler,Jones,1990-02-27
00-0037605,RupcAn00,Andrew Rupcich,Andrew,Rupcich,1999-04-01
00-0031936,MorsMi00,Mitch Morse,Mitchell,Morse,1992-04-21
00-0036952,CoopJo02,Jonathon Cooper,Jonathon,Cooper,1998-01-08
00-0037360,CheeDa00,Davis Cheek,Davis,Cheek,1999-02-26
00-0034335,AlleMa03,Marcus Allen,Marcus,Allen,1996-08-07
00-0033380,AuguJo00,Josh Augusta,Josh,Augusta,1994-08-24
00-0025420,BranAl99,Alan Branch,Alan,Branch,1984-12-29
00-0037039,AlleDe02,Devon Allen,Devon,Allen,1994-12-12
00-0035258,FrohHj00,Hjalte Froholdt,Hjalte,Froholdt,1996-08-20
00-0033280,McCaCh01,Christian McCaffrey,Christian,McCaffrey,1996-06-07
00-0037086,CalcGr00,Grant Calcaterra,Grant,Calcaterra,1998-12-04
00-0029530,BethJu00,Justin Bethel,Justin,Bethel,1990-06-17
00-0032517,BoddBr01,Briean Boddy-Calhoun,Briean,Boddy-Calhoun,1993-01-21
00-0034256,ScotDa02,Da'Mari Scott,Da'Mari,Scott,1995-08-08
00-0027675,DickEd00,Ed Dickson,Edward,Dickson,1987-07-25
00-0028284,ScalPa00,Patrick Scales,Patrick,Scales,1988-02-11
00-0038876,FishJo00,Joey Fisher,Joey,Fisher,1997-11-11
00-0034602,RotiBu00,Bunmi Rotimi,Olubunmi,Rotimi,1995-07-16
00-0040425,RobeJJ00,JJ Roberts,JJ,Roberts,2001-09-22
00-0030768,SkovSh00,Shayne Skov,Shayne,Skov,1990-07-09
00-0036584,SareFo00,Foster Sarell,Foster,Sarell,1998-08-28
00-0027232,BrowSe00,Sergio Brown,Sergio,Brown,1988-05-22
00-0039077,McClWa00,Warren McClendon Jr.,Warren,McClendon,2001-04-11
00-0033175,SteuKy00,Kyle Steuck,Kyle,Steuck,1993-07-13
00-0024237,LawsMa20,Manny Lawson,Emmanuel,Lawson,1984-07-03
00-0039607,,Maxwell Tooley,Maxwell,Tooley,1998-03-05
00-0036942,OdigOs00,Osa Odighizuwa,Osawanu,Odighizuwa,1998-08-13
00-0040748,NormOm00,Omarr Norman-Lott,Omarr,Norman-Lott,2002-03-11
00-0033242,GracJe00,Jermaine Grace,Jermaine,Grace,1993-11-08
00-0040363,LatuKe00,Keleki Latu,Keleki,Latu,2002-08-13
00-0031257,RichPa01,Paul Richardson,Paul,Richardson,1992-04-13
00-0040404,PagePa00,Payton Page,Payton,Page,2002-09-27
00-0032957,ListKo00,Kolby Listenbee,Kolby,Listenbee,1994-01-25
00-0040065,WaxtIs00,Isas Waxter,Isas,Waxter,2001-09-17
00-0035019,WhitRe01,Reggie White Jr.,Reggie,White,1996-03-10
00-0036708,ParkDa02,Dareuan Parker,Dareuan,Parker,1998-07-24
00-0031508,,Patrick Miller,Patrick,Miller,1993-03-30
00-0029421,BullRa00,Randy Bullock,Randol,Bullock,1989-12-16
00-0032653,MayeK.00,K.J. Maye,Kelvin,Maye,1994-02-25
00-0037814,FortLu01,Luke Fortner,Luke,Fortner,1998-05-15
00-0033655,BrowBr05,Brian Brown,Brian,Brown,1994-10-22
00-0034633,WeahJe01,Jester Weah,Jester,Weah,1995-02-07
00-0035022,HartPe01,Penny Hart,Marjahn,Hart,1996-07-05
00-0037812,LucaAb00,Abraham Lucas,Abraham,Lucas,1998-10-15
00-0026910,ToleGr99,Greg Toler,Gregory,Toler,1985-01-02
00-0039490,AumaPo00,Popo Aumavae,Popo,Aumavae,1999-01-15
00-0040472,RandGa00,Garmon Randolph,Garmon,Randolph,2000-10-05
00-0038569,SowxSi00,Sidy Sow,Cheikhe,Sow,1998-06-10
00-0036637,GrayNo00,Noah Gray,Noah,Gray,1999-04-30
00-0029205,CadeTr00,Travaris Cadet,Travaris,Cadet,1989-02-01
00-0037484,McMiKy00,Kyler McMichael,Kyler,McMichael,2000-03-22
00-0033546,TomlDa00,Dalvin Tomlinson,Dalvin,Tomlinson,1994-02-18
00-0026151,McKeLe99,Leodis McKelvin,Leodis,McKelvin,1985-09-01
00-0032497,FergRe00,Reid Ferguson,Chandler,Ferguson,1994-03-24
00-0035673,TeuhSi00,Sione Teuhema,Sione,Teuhema,1995-09-28
00-0036752,ParkAJ00,AJ Parker,Arlando,Parker,1998-02-15
00-0029979,OkpaTr00,Tristan Okpalaugo,Tristan,Okpalaugo,1989-10-10
