teamID,name,city,conference,division
13906238977642631312,Buccaneers,Tampa Bay,NFC,NFC South
65479060838205726,Patriots,New England,AFC,AFC East
500402322179294962,Texans,Houston,AFC,AFC South
7133911251131028908,Steelers,Pittsburgh,AFC,AFC North
5036536954717716423,Bills,Buffalo,AFC,AFC East
6282140929199591444,Colts,Indianapolis,AFC,AFC South
5278248699303523056,Commanders,Washington,NFC,NFC East
18099107877425255784,Falcons,Atlanta,NFC,NFC South
2510731250986376389,Chargers,Los Angeles,AFC,AFC West
13343989452992003904,Giants,New York,NFC,NFC East
16205908587528271615,Saints,New Orleans,NFC,NFC South
10747338959545745003,Packers,Green Bay,NFC,NFC North
132764444518718530,Browns,Cleveland,AFC,AFC North
6749998682379709485,Bengals,Cincinnati,AFC,AFC North
1050569726423766568,Jaguars,Jacksonville,AFC,AFC South
17956958453991973628,Cardinals,Arizona,NFC,NFC West
9057379035658713691,Vikings,Minnesota,NFC,NFC North
10850162338247848558,Cowboys,Dallas,NFC,NFC East
313534023758018368,Dolphins,Miami,AFC,AFC East
2063088944946177687,Panthers,Carolina,NFC,NFC South
5652306262615220775,Bears,Chicago,NFC,NFC North
12955004400848398946,Rams,Los Angeles,NFC,NFC West
8868698989004076079,Raiders,Las Vegas,AFC,AFC West
6365231705754170015,Broncos,Denver,AFC,AFC West
1560179394349447686,Titans,Tennessee,AFC,AFC South
6925066933158530259,Eagles,Philadelphia,NFC,NFC East
6153311603862755699,Lions,Detroit,NFC,NFC North
17088881563676356828,Chiefs,Kansas City,AFC,AFC West
2320754804646684222,49ers,San Francisco,NFC,NFC West
12023098800665815609,Seahawks,Seattle,NFC,NFC West
12650255921933686038,Rams,Los Angeles,NFC,NFC West
5871406167610578751,Jets,New York,AFC,AFC East
9069772535392331262,Ravens,Baltimore,AFC,AFC North
